AFK	VanEck Vectors-Africa Index	VanEck Vectors-Africa Index		"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVIS® GDP Africa Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes local listings of companies that are incorporated in Africa and listings of companies incorporated outside of Africa but that have at least 50% of their revenues/related assets in Africa."	http://www.marketvectorsetfs.com			NYSE Arca	59061420				
AGF	DB Agriculture Long ETN due April 1 2038	DB Agriculture Long ETN due April 1 2038		"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the Deutsche Bank Liquid Commodity index - Optimum Yield Agriculture.
 The fund is a senior unsecured obligation. The index is composed of roughly equal percentages of corn, wheat, soybean, and sugar futures contracts."	http://www.db.com/india			NYSE Arca	674520				
AGG	iShares Core U.S. Aggregate Bond	iShares Core U.S. Aggregate Bond		"The investment seeks to track the investment results of the Bloomberg Barclays U.S. Aggregate Bond Index.
 The index measures the performance of the total U.S. investment-grade bond market. The fund generally invests at least 90% of its net assets in component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the economic characteristics of the component securities of its underlying index."	http://www.ishares.com	AGG.png		NYSE Arca	57116672000				
AGQ	ProShares Ultra Silver	ProShares Ultra Silver		"The investment seeks to provide daily investment results (before fees and expenses) that correspond to twice (200%) the daily performance of silver bullion as measured by the U.S. Dollar fixing price for delivery in London.
The “Ultra” funds seek results for a single day that match (before fees and expenses) two times (2x) the daily performance of a benchmark. It does not seek to achieve their stated objective over a period greater than a single day."	http://www.proshares.com	AGQ.png		NYSE Arca	205929569				
AGZ	iShares Agency Bond	iShares Agency Bond		"The investment seeks to track the investment results of the Bloomberg Barclays U.S. Agency Bond Index.
 The underlying index measures the performance of the agency sector of the U.S. government bond market and is comprised of investment-grade U.S. dollar-denominated publicly-issued government agency bonds or debentures. The fund generally will invest at least 90% of its assets in the component securities of the underlying index."	http://www.ishares.com	AGZ.png		NYSE Arca	615285000				
AIA	iShares Asia 50 ETF	iShares Asia 50 ETF		"The investment seeks to track the S&P Asia 50TM, which is a total float-adjusted, market capitalization-weighted index that is designed to measure the performance of the 50 leading companies listed in four Asian countries or regions: Hong Kong, Singapore, South Korea and Taiwan.
 The fund generally will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."	http://www.ishares.com	AIA.png		NASDAQ Global Market	1066942500				
ALD	WisdomTree Asia Local Debt Fund	WisdomTree Asia Local Debt Fund		"The investment seeks a high level of total return consisting of both income and capital appreciation.
 The fund normally invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in Local Debt. The advisor intends to focus its investments on Local Debt issued by governments (national, state, and local), government agencies and instrumentalities, and government sponsored enterprises. The fund may invest up to 20% of its assets in debt instruments denominated in U.S. dollars issued by Asian governments and government sponsored enterprises. It is non-diversified."	http://www.wisdomtree.com	ALD.png		NYSE Arca	13356000				
ALFA	AlphaClone Alternative Alpha	AlphaClone Alternative Alpha		"The investment seeks to track the price and yield, before fees and expenses, of the AlphaClone Hedge Fund Masters Index.
 The fund uses a ""passive management"" approach to track the performance, before fees and expenses, of the index. The index utilizes a proprietary, quantitative Clone Score methodology developed by AlphaClone, Inc., the fund's index provider, to replicate the U.S. equity securities favored as investments by hedge funds and institutional investors. At least 80% of the fund's total assets (exclusive of any collateral held from securities lending) will be invested in the component securities of the index."				Cboe Global Markets EDGX	23440000				
AMJ	JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN	JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN		"The investment seeks to replicate, net of expenses, the Alerian MLP Index. 
 The index tracks the performance of midstream energy Master Limited Partnerships."	http://www.jpmorganchase.com	AMJ.png		NYSE Arca	3027360000				
AMLP	Alerian MLP	Alerian MLP		"The investment seeks total return, with an emphasis on income as the source of that total return.
 The fund seeks to achieve its investment objective by investing in a global portfolio of fixed income securities of various maturities, ratings and currency denominations. The adviser intends to utilize various investment strategies in a broad array of fixed income sectors. The fund may purchase fixed income securities issued by U.S. or foreign corporations or financial institutions, including debt securities of all types and maturities, convertible securities and preferred stocks. It is non-diversified."	http://www.alpsfunds.com			NYSE Arca	9195807621				
ANGL	VanEck Vectors Fallen Angel High Yield Bond	VanEck Vectors Fallen Angel High Yield Bond		"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the ICE BofAML US Fallen Angel High Yield Index (the ""Fallen Angel Index"").
 The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of below investment grade corporate bonds denominated in U.S. dollars that were rated investment grade at the time of issuance."	http://www.marketvectorsetfs.com			NYSE Arca	862670000				
AOA	iShares Core Aggressive Allocation	iShares Core Aggressive Allocation		"The investment seeks to track the investment results of the S&P Target Risk Aggressive Index composed of a portfolio of underlying equity and fixed income funds intended to represent an aggressive target risk allocation strategy.
 The fund is a fund of funds and seeks its investment objective by investing primarily in other iShares Underlying Funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 90% of its assets in the component securities of the underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model."	http://www.ishares.com	AOA.png		NYSE Arca	891820000				
AOK	iShares Core Conservative Allocation	iShares Core Conservative Allocation		"The investment seeks to track the investment results of the S&P Target Risk Conservative Index composed of a portfolio of underlying equity and fixed income funds intended to represent a conservative target risk allocation strategy.
 The fund is a fund of funds and seeks its investment objective by investing primarily in other iShares Underlying Funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 90% of its assets in the component securities of the underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model."	http://www.ishares.com	AOK.png		NYSE Arca	488215000				
AOM	iShares Core Moderate Allocation	iShares Core Moderate Allocation		"The investment seeks to track the investment results of the S&P Target Risk Moderate Index composed of a portfolio of underlying equity and fixed income funds intended to represent a moderate target risk allocation strategy.
 The fund is a fund of funds and seeks its investment objective by investing primarily in other iShares Underlying Funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 90% of its assets in the component securities of the underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model."	http://www.ishares.com	AOM.png		NYSE Arca	1053503500				
AOR	iShares Core Growth Allocation	iShares Core Growth Allocation		"The investment seeks to track the investment results of the S&P Target Risk Growth Index composed of a portfolio of underlying equity and fixed income funds intended to represent a growth allocation target risk strategy.
 The fund is a fund of funds and seeks its investment objective by investing primarily in other iShares Underlying Funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 90% of its assets in the component securities of the underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model."	http://www.ishares.com	AOR.png		NYSE Arca	1263231000				
ASEA	Global X FTSE Southeast Asia	Global X FTSE Southeast Asia		"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the FTSE/ASEAN 40 Index (""underlying index"").
 The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index tracks the equity performance of the 40 largest and most liquid companies in the five Association of Southeast Asian Nations (""ASEAN"") regions: Singapore, Malaysia, Indonesia, Thailand and the Philippines. It is non-diversified."	http://www.globalxfunds.com	ASEA.png		NYSE Arca	22652000				
AUSE	WisdomTree Australia Dividend Index	WisdomTree Australia Dividend Index		"The investment seeks to track the price and yield performance, before fees and expenses, of the WisdomTree Australia Dividend Index.
 Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of high-dividend yielding companies in Australia. The fund is non-diversified."	http://www.wisdomtree.com	AUSE.png		NYSE Arca	19556513				
AXJL	WisdomTree Asia Pacific ex-Japan Total Dividend Fund	WisdomTree Asia Pacific ex-Japan Total Dividend Fund		"The investment seeks to track the price and yield performance, before fees and expenses, of the WisdomTree Asia Pacific ex-Japan Index.
 Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of dividend-paying companies in the Asia Pacific region, excluding Japan. It is non-diversified."	http://www.wisdomtree.com	AXJL.png		NYSE Arca	33007650				
AXNX	Axonics Modulation Technologies Inc.	Axonics Modulation						Nasdaq Global Select	422081464		Healthcare	Medical Devices	
BAB	Invesco Taxable Municipal Bond	Invesco Taxable Municipal Bond		"The investment seeks to track the investment results (before fees and expenses) of the ICE BofAML US Taxable Municipal Securities Plus Index (the ""underlying index"").
 The fund generally will invest at least 80% of its total assets in taxable municipal securities that comprise the underlying index. The underlying index is designed to track the performance of U.S. dollar-denominated taxable municipal debt publicly issued by U.S. states and territories, and their political subdivisions, in the U.S. market."	http://www.invescopowershares.com	BAB.png		NYSE Arca	877635000				
BBH	VanEck Vectors Biotech ETF	VanEck Vectors Biotech ETF		"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVIS® US Listed Biotech 25 Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The Biotech Index includes common stocks and depositary receipts of U.S. exchange-listed companies in the biotechnology sector. Such companies may include medium-capitalization companies and foreign companies that are listed on a U.S. exchange. It is non-diversified."	http://www.marketvectorsetfs.com			NASDAQ Global Market	420534888				
BCM	iPath Pure Beta Broad Commodity ETN	iPath Pure Beta Broad Commodity ETN		"The investment seeks to provide investors with exposure to the Barclays Commodity Index Pure Beta Total Return. 
The Barclays Commodity Index Pure Beta Total Return (the ""index"") is comprised of a basket of exchange traded futures contracts and reflects the returns that are potentially available through an unleveraged investment in the futures contracts on certain physical commodities. For each commodity, the index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Pure Beta Series 2 Methodology."	http://www.barclaysinvestments.co.uk			NYSE Arca	54088943				
BDCL	2xLeveraged Long Exchange Traded Access Securities (E-TRACS) Linked to the Wells Fargo Business Development Company Index due May 24 2041	2xLeveraged Long Exchange Traded Access Securities (E-TRACS) Linked to the Wells Fargo Business Development Company Index due May 24 2041		"The investment seeks to replicate, net of expenses, twice the performance of the Wells Fargo Business Development Company Index.
 The index is a float adjusted, capitalization-weighted index that is intended to measure the performance of all Business Development Companies (“BDC”) that are listed on the New York Stock Exchange or NASDAQ and satisfy specified market capitalization and other eligibility requirements. The BDC business model is to lend to small and midsized companies at high yield equivalent rates while also at times taking equity stakes in such companies."	http://www.ubs.com	BDCL.png		NYSE Arca	201095200				
BDCS	UBS AG Exchange Traded Access Securities (E TRACS) Linked to the Wells Fargo Business Development Company Index due April 26 2041	UBS AG Exchange Traded Access Securities (E TRACS) Linked to the Wells Fargo Business Development Company Index due April 26 2041		"The investment seeks to replicate, net of expenses, the performance of the Wells Fargo Business Development Company Index.
 The index is a float adjusted, capitalization-weighted index that is intended to measure the performance of all Business Development Companies (“BDC”) that are listed on the New York Stock Exchange or NASDAQ and satisfy specified market capitalization and other eligibility requirements. The BDC business model is to lend to small and midsized companies at high yield equivalent rates while also at times taking equity stakes in such companies."	http://www.ubs.com	BDCS.png		NYSE Arca	80740791				
BDD	DB Base Metals Double Long Exchange Traded Notes due June 1 2038	DB Base Metals Double Long Exchange Traded Notes due June 1 2038		"The investment seeks to track the price and yield performance, before fees and expenses, 200% of the daily return of the Deutsche Bank Liquid Commodity index - Optimum Yield Industrial Metals Excess Return.
 The fund allows investors to take a leveraged view on the performance of the industrial metals sector. The index is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals, aluminum, zinc and copper."	http://www.db.com/india			NYSE Arca	1255144				
BIB	ProShares Ultra Nasdaq Biotechnology	ProShares Ultra Nasdaq Biotechnology		"The investment seeks daily investment results that correspond to two times (2x) the daily performance of the Nasdaq Biotechnology Index®.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a modified capitalization weighted index that includes securities of Nasdaq listed companies that are classified as either biotechnology or pharmaceutical. The fund is non-diversified."	http://www.proshares.com	BIB.png		NASDAQ Global Market	261312000				
BICK	First Trust Global BICK Index Fund	First Trust BICK Index Fund		"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the ISE BICKTM.
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks or in depositary receipts representing securities in the index. The index is designed to provide a benchmark for investors interested in tracking some of the largest and most liquid public companies that are domiciled in Brazil, India, China (including Hong Kong) and South Korea that are accessible for investment by U.S. investors."	http://www.ftportfolios.com	BICK.png		NASDAQ Global Market	149114035				
BIS	ProShares UltraShort Nasdaq Biotechnology	ProShares UltraShort Nasdaq Biotechnology		"The investment seeks daily investment results that correspond to two times the inverse (-2x) of the daily performance of the Nasdaq Biotechnology Index®.
 The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a modified capitalization weighted index that includes securities of Nasdaq listed companies that are classified as either biotechnology or pharmaceutical. The fund is non-diversified."	http://www.proshares.com	BIS.png		NASDAQ Global Market	28612465				
BIV	Vanguard Intermediate-Term Bond	Vanguard Intermediate-Term Bond		"The investment seeks the performance of the Bloomberg Barclays U.S. 5-10 Year Government/Credit Float Adjusted Index.
 Bloomberg Barclays U.S. 5-10 Year Government/Credit Float Adjusted Index includes all medium and larger issues of U.S. government, investment-grade corporate and investment-grade international dollar-denominated bonds that have maturities between 5 and 10 years and are publicly issued. All of its investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the index."	http://www.vanguard.com	BIV.png		NYSE Arca	11594989298				
BJK	VanEck Vectors Gaming	VanEck Vectors Gaming		"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVIS® Global Gaming Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes common stocks and depositary receipts of companies that generate at least 50% of their revenues from (or, in certain circumstances, have at least 50% of their assets related to) gaming. This includes casinos and casino hotels, sports betting and lottery services as well as gaming services, gaming technology and gaming equipment. It is non-diversified."	http://www.marketvectorsetfs.com			NYSE Arca	28447500				
BKC	REX BKCM	REX BKCM		"The investment seeks to provide total return.
 The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective, under normal circumstances, by obtaining investment exposure to an actively managed portfolio consisting of equity securities of cryptocurrency-related and other blockchain technology-related companies. It may invest indirectly in bitcoin exclusively through investments in the Bitcoin Investment Trust (""GBTC""), a privately offered, open-end investment vehicle. The fund is non-diversified."			John W. Chidsey	NYSE Arca	2850089403				
BKF	iShares MSCI BRIC Index Fund	iShares MSCI BRIC Index Fund		"The investment seeks to track the investment results of the MSCI BRIC Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization index that is designed to measure the combined equity market performance in Brazil, Russia, India and China (""BRIC"")."	http://www.ishares.com	BKF.png		NYSE Arca	292320000				
BKLN	Invesco Senior Loan	Invesco Senior Loan		"The investment seeks to track the investment results (before fees and expenses) of the S&P/LSTA U.S. Leveraged Loan 100 Index (the ""underlying index"").
 The fund generally will invest at least 80% of its total assets in senior loans that comprise the underlying index. The Adviser and the fund's sub-adviser define senior loans to include loans referred to as leveraged loans, bank loans and/or floating rate loans. Banks and other lending institutions generally issue senior loans to corporations, partnerships or other entities (""borrowers""). These borrowers operate in a variety of industries and geographic regions, including foreign countries."	http://www.invescopowershares.com	BKLN.png		NYSE Arca	5049008000				
BLV	Vanguard Long-Term Bond	Vanguard Long-Term Bond		"The investment seeks to track the performance of the Bloomberg Barclays U.S. Long Government/Credit Float Adjusted Index.
 Bloomberg Barclays U.S. Long Government/Credit Float Adjusted Index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities of greater than 10 years and are publicly issued. All of its investments will be selected through the sampling process, and at least 80% of the fund's assets will be invested in bonds held in the index."	http://www.vanguard.com	BLV.png		NYSE Arca	3018834000				
BND	Vanguard Total Bond Market ETF	Vanguard Total Bond Market ETF		"The investment seeks the performance of Bloomberg Barclays U.S. Aggregate Float Adjusted Index.
 Bloomberg Barclays U.S. Aggregate Float Adjusted Index represents a wide spectrum of public, investment-grade, taxable, fixed income securities in the United States-including government, corporate, and international dollar-denominated bonds, as well as mortgage-backed and asset-backed securities-all with maturities of more than 1 year. All of its investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the index."	http://www.vanguard.com	BND.png		NASDAQ Global Market	36991952233				
BNO	United States Brent Oil Fund LP ETV	United States Brent Oil Fund ETV		"The investment seeks the daily changes in percentage terms of its shares’ per share net asset value (“NAV”) to reflect the daily changes in percentage terms of the spot price of Brent crude oil. 
 The Benchmark Futures Contract is the futures contract on Brent crude oil as traded on the Ice Futures Europe Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will be measured by the futures contract that is the next month contract to expire."	http://www.unitedstatesbrentoilfund.com	BNO.png		NYSE Arca	87813000				
BOIL	ProShares Ultra Bloomberg Natural Gas	ProShares Ultra Bloomberg Natural Gas		"The investment seeks results for a single day that match (before fees and expenses) two times the daily performance of the Bloomberg Natural Gas SubindexSM.
The fund seeks to meet their investment objectives by investing under normal market conditions in Natural Gas futures contracts. It may also invest in swaps if the market for a specific futures contract experiences emergencies (e.g., natural disaster, terrorist attack, or an act of God) or disruptions (e.g., a trading halt or a flash crash) or in situations where the Sponsor deems it impractical or inadvisable to buy or sell futures contracts (such as during periods of market volatility or illiquidity)."	http://www.proshares.com	BOIL.png		NYSE Arca	19880973				
BOM	DB Base Metals Double Short Exchange Traded Notes due June 1 2038	DB Base Metals Double Short Exchange Traded Notes due June 1 2038		"The investment seeks to track the price and yield performance, before fees and expenses, 200% of the inverse daily performance of the Deutsche Bank Liquid Commodity index - Optimum Yield Industrial Metals Excess Return.
 The fund allows investors to take a short view on the performance of the industrial metals sector. The index is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals, aluminum, zinc and copper."	http://www.db.com/india			NYSE Arca	602700				
BOND	PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund	PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund		"The investment seeks current income and long-term capital appreciation, consistent with prudent investment management.
 The fund normally invests at least 80% of its assets in a diversified portfolio of Fixed Income Instruments of varying maturities, which may be represented by forwards or derivatives such as options, futures contracts, or swap agreement. It invests primarily in investment grade debt securities, but may invest up to 30% of its total assets in high yield securities, as rated by Moody's, S&P or Fitch, or, if unrated, as determined by PIMCO."	http://www.pimcoetfs.com/fundinfo			NYSE Arca	2011587900				
BOS	DB Base Metals Short Exchange Traded Notes due June 1 2038	DB Base Metals Short Exchange Traded Notes due June 1 2038		"The investment seeks to track the price and yield performance, before fees and expenses, of the Deutsche Bank Liquid Commodity index - Optimum Yield Industrial Metals Excess Return.
 The fund allows investors to take a short view on the performance of the industrial metals sector. The index is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals, aluminum, zinc and copper."	http://www.db.com/india			NYSE Arca	544305				
BRF	VanEck Vectors Brazil Small-Cap	VanEck Vectors Brazil Small-Cap		"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVIS® Brazil Small-Cap Index.
 The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes securities of Brazilian small-capitalization companies. A company is generally considered to be a Brazilian company if it is incorporated in Brazil or is incorporated outside of Brazil but has at least 50% of its revenues/related assets in Brazil."	http://www.marketvectorsetfs.com			NYSE Arca	101094000				
BSCJ	Invesco BulletShares 2019 Corporate Bond	Invesco BulletShares 2019 Corporate Bond		"The investment seeks to track the investment results (before fees and expenses) of the Nasdaq BulletShares® USD Corporate Bond 2019 Index (the ""underlying index"").
 The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2019 (collectively, ""2019 Bonds""). The fund is non-diversified."	http://www.invesco.com	BSCJ.png		NYSE Arca	1375470000				
BSCK	Invesco BulletShares 2020 Corporate Bond	Invesco BulletShares 2020 Corporate Bond		"The investment seeks to track the investment results (before fees and expenses) of the Nasdaq BulletShares® USD Corporate Bond 2020 Index (the ""underlying index"").
 The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2020 (collectively, ""2020 Bonds""). The fund is non-diversified."	http://www.invesco.com	BSCK.png		NYSE Arca	1626207435				
BSV	Vanguard Short-Term Bond	Vanguard Short-Term Bond		"The investment seeks to track the performance of Bloomberg Barclays U.S. 1-5 Year Government/Credit Float Adjusted Index.
 Bloomberg Barclays U.S. 1-5 Year Government/Credit Float Adjusted Index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 1 and 5 years and are publicly issued. All of its investments will be selected through the sampling process, and at least 80% of its assets will be invested in bonds held in the index."	http://www.vanguard.com	BSV.png		NYSE Arca	23941526977				
BTAL	AGFiQ U.S. Market Neutral Anti-Beta Fund	AGFiQ U.S. Market Neutral Anti-Beta Fund		"The investment seeks performance results that correspond to the price and yield performance, before fees and expenses, of the Dow Jones U.S. Thematic Market Neutral Anti-Beta Index.
 The fund invests at least 80% of its net assets in common stock of the long positions in the underlying index and sells short at least 80% of the short positions in the underlying index. The underlying index is a long/short market neutral index that is dollar-neutral. As such, it identifies long and short securities positions of approximately equal dollar amounts."	http://www.quant-shares.com			NYSE Arca	41417805				
BWX	SPDR Bloomberg Barclays Intl Treasury Bd	SPDR Bloomberg Barclays Intl Treasury Bd		"The investment seeks to provide investment results that, before fees and expenses, correspond generally to the price and yield performance of the Bloomberg Barclays Global Treasury ex-US Capped Index.
 The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index or in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to track the fixed-rate local currency sovereign debt of investment grade countries outside the United States. The fund is non-diversified."	http://www.spdrs.com			NYSE Arca	1211911059				
BWZ	SPDR Bloomberg Barclays Short Term International Treasury Bond	SPDR Bloomberg Barclays Short Term International Treasury Bond		"The investment seeks to provide investment results that correspond generally to the Bloomberg Barclays 1-3 Year Global Treasury ex-US Capped Index.
 The fund invests substantially all, but at least 80%, of its total assets in the securities comprising the index or in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of fixed-rate local currency sovereign debt of investment grade countries outside the United States that have remaining maturities of 1-3 years. The fund is non-diversified."	http://www.spdrs.com			NYSE Arca	297696000				
